name,adress,c,cp,e,date,note,h,adress2,lat,long
"FT 33","1617 HI LINE DR",250,75207,"45E",02/08/2014,95,"Routine","1617 HI LINE DR,DALLAS,TX,75207","32,795258","-96,819397"
"AGUAS FRESCAS Y MAS","803 S BEACON ST",300,75223,"46H",11/10/2014,93,"Routine","803 S BEACON ST,DALLAS,TX,75223","32,796345","-96,750717"
"BLUE BIRD","11434 EMERALD ST","#106",75229,"22D",29/10/2014,94,"Routine","11434 EMERALD ST,DALLAS,TX,75229","32,795258","-96,819397"
"CARNCERIA MEXICO","5417 BERNAL DR"," ",75212,"42Q",26/08/2014,89,"Routine","5417 BERNAL DR,DALLAS,TX,75212","32,796345","-96,750717"
"CLIFF'S BAR & GRILL","3403 MCKINNEY AVE"," ",75204,"35Y",01/05/2014,86,"Routine","3403 MCKINNEY AVE,DALLAS,TX,75204","32,897076","-96,898895"
"D.F. DISTRIBUTION CENTER","13331 PRESTON RD","#1032",75240,"15P",08/09/2014,97,"Routine","13331 PRESTON RD,DALLAS,TX,75240","32,777443","-96,909561"
"DALLAS SPEED ZONE","11130 MALIBU DR"," ",75229,"22L",17/06/2014,94,"Routine","11130 MALIBU DR,DALLAS,TX,75229","32,80534","-96,79908"
"EL JALISCO","4601 MAPLE AVE"," ",75219,"34Z",28/08/2014,90,"Routine","4601 MAPLE AVE,DALLAS,TX,75219","32,9293057","-96,8036639"
"EL PUEBLO","910 S HAMPTON RD","E",75208,"53M",30/04/2014,86,"Follow-up","910 S HAMPTON RD,DALLAS,TX,75208","32,884758","-96,899612"
"FRESHII","3600 GASTON AVE"," ",75246,"45M",07/08/2013,88,"Routine","3600 GASTON AVE,DALLAS,TX,75246","32,81255","-96,824295"
"GOGI STEAK & TACO","2626 S WESTMORELAND RD",600,75211,"53T",21/05/2014,83,"Routine","2626 S WESTMORELAND RD,DALLAS,TX,75211","32,736534","-96,8563"
"GREEN GROCER","3614 GREENVILLE AVE"," ",75206,"36P",16/10/2014,89,"Routine","3614 GREENVILLE AVE,DALLAS,TX,75206","32,792053","-96,779884"
"HILTON DALLAS LINCOLN CENTRE - EMP CAFETERIA","5410 LBJ FRWY"," ",75240,"15N",07/11/2014,100,"Routine","5410 LBJ FRWY,DALLAS,TX,75240","32,719608","-96,873886"
"HYATT HOUSE HOTEL - MARKET","2914 HARRY HINES BLVD"," ",75201,"45E",10/07/2014,94,"Routine","2914 HARRY HINES BLVD,DALLAS,TX,75201","32,8320482","-96,770082"
"HYATT HOUSE HOTEL - MARKET","2914 HARRY HINES BLVD"," ",75201,"45E",10/07/2014,94,"Routine","2914 HARRY HINES BLVD,DALLAS,TX,75201","32,92403","-96,816971"
"KAY'S PLACE - GO NATURAL","650 S GRIFFIN ST"," ",75202,"45P",30/09/2014,96,"Routine","650 S GRIFFIN ST,DALLAS,TX,75202","32,794994","-96,809982"
"KOLTON'S FIND FOOD GRILL","4131 N WESTMORELAND RD","#B",75212,"43F",27/03/2014,87,"Routine","4131 N WESTMORELAND RD,DALLAS,TX,75212","32,794994","-96,809982"
"LA OFICINA NIGHT CLUB","10830 HARRY HINES BLVD"," ",75220,"23N",23/10/2014,87,"Routine","10830 HARRY HINES BLVD,DALLAS,TX,75220","32,7746844","-96,8015014"
"LOUISIANA FAMOUS FRIED CHICKEN","7932 GREAT TRINITY FOREST WAY","#101A",75217,"58Y",10/09/2014,88,"Routine","7932 GREAT TRINITY FOREST WAY,DALLAS,TX,75217","32,79224","-96,874161"
"LUCKY BINGO","212 WESTERN PARK VILLAGE "," ",75211,"52V",19/08/2014,93,"Routine","212 WESTERN PARK VILLAGE ,DALLAS,TX,75211","32,875244","-96,883438"
"MARISCOS EL RIO","3620 S BUCKNER BLVD"," ",75227,"48Y",05/10/2014,81,"Routine","3620 S BUCKNER BLVD,DALLAS,TX,75227","32,7115402","-96,6852341"
"MICHOACANOS TAQUERIA","2725 S BUCKNER BLVD",100,75227,"48Y",22/03/2014,80,"Routine","2725 S BUCKNER BLVD,DALLAS,TX,75227","32,7365952","-96,905777"
"PUPUSERIA Y TAQUERIA LOS FRIETAS","1328 N JIM MILLER RD","#101",75217,"58J",04/02/2014,82,"Routine","1328 N JIM MILLER RD,DALLAS,TX,75217","32,768449","-96,6825642"
"303 BAR & GRILL (BAR AREA)","303 W DAVIS ST"," ",75208,"54A",24/07/2014,90,"Routine","303 W DAVIS ST,DALLAS,TX,75208","32,7582941","-96,6829444"
"7 - ELEVEN","9230 SKILLMAN ST","#201",75243,"27D",22/09/2014,93,"Routine","9230 SKILLMAN ST,DALLAS,TX,75243","32,735561","-96,69957"
"7 - ELEVEN #35421","10804 PRESTON RD"," ",75230,"25F",18/11/2014,86,"Routine","10804 PRESTON RD,DALLAS,TX,75230","32,749592","-96,826973"
"7 ELEVEN","5501 S BUCKNER BLVD"," ",75228,"48C",01/04/2014,85,"Routine","5501 S BUCKNER BLVD,DALLAS,TX,75228","32,902973","-96,713631"
"7-ELEVEN","6833 W NORTHWEST HWY"," ",75225,"25U",11/08/2014,83,"Routine","6833 W NORTHWEST HWY,DALLAS,TX,75225","32,895161","-96,803574"
"7-ELEVEN","11803 PRESTON RD"," ",75230,"15X",12/11/2014,93,"Routine","11803 PRESTON RD,DALLAS,TX,75230","32,792919","-96,685547"
"7-ELEVEN #34997","1010 ROSS AVE"," ",75221,"45P",06/03/2014,94,"Routine","1010 ROSS AVE,DALLAS,TX,75221","32,866035","-96,787491"
"7-ELEVEN #35425","8302 ABRAMS RD"," ",75243,"27E",02/05/2013,94,"Routine","8302 ABRAMS RD,DALLAS,TX,75243","32,909874","-96,804329"
"7-ELEVEN #35425 ","8302 ABRAMS RD ",,75243,"27E ",16/06/2014,87,"Routine","8302 ABRAMS RD ,DALLAS,TX,75243","32,7826727","-96,8042379"
"8020 RESTAURANT ","2008 GREENVILLE AVE ",,75206,"36X ",09/09/2014,86,"Routine","2008 GREENVILLE AVE ,DALLAS,TX,75206","32,893277","-96,7405904"
"A AND A'S QUICKSTOP ","4307 DUNCANVILLE RD ","#101 ",75236,"62F ",19/08/2014,93,"Routine","4307 DUNCANVILLE RD ,DALLAS,TX,75236","32,893277","-96,7405904"
"A TO Z FOOD MART ","2120 N ST AUGUSTINE RD ","#130 ",75227,"59B ",01/10/2014,96,"Routine","2120 N ST AUGUSTINE RD ,DALLAS,TX,75227","32,814358","-96,769791"
"KHAN ","2240 ROYAL LN ","#102 ",75229,"22G ",24/11/2014,80,"Routine","2240 ROYAL LN ,DALLAS,TX,75229","32,689182","-96,909027"
"BURGER ISLAND ","3128 FOREST LN ","#228 ",75234,"13Y ",12/11/2014,84,"Routine","3128 FOREST LN ,DALLAS,TX,75234","32,7493744","-96,6562042"
"ALOFT DALLAS ","1033 YOUNG ST ","#100 ",75202,"45P ",17/11/2014,87,"Routine","1033 YOUNG ST ,DALLAS,TX,75202","32,894581","-96,903191"
"EDIBLE ALOFT ","1033 YOUNG ST ",50,75202,"45P ",17/11/2014,87,"Routine","1033 YOUNG ST ,DALLAS,TX,75202","32,9095982","-96,8717759"
"AMADI GUESS FOUNDATION ","3427 TRINITY MILLS RD ","#700 ",75287,"04L ",24/04/2013,84,"Routine","3427 TRINITY MILLS RD ,DALLAS,TX,75287","32,77721","-96,801193"
"ANN RICHARDS MIDDLE SCHOOL ","3831 N PRAIRIE CREEK ",,75227,"59A ",03/04/2014,100,"Routine","3831 N PRAIRIE CREEK ,DALLAS,TX,75227","32,77721","-96,801193"
"ARCADIA WINE & SPIRITS ","5626 E RL THORNTON FRWY ",,75235,"46H ",22/05/2014,100,"Routine","5626 E RL THORNTON FRWY ,DALLAS,TX,75235","32,9871623","-96,851369"
"B-Z MART ","5455 N JIM MILLER RD ",,75227,"48N ",26/08/2013,88,"Routine","5455 N JIM MILLER RD ,DALLAS,TX,75227","32,7714604","-96,6655268"
"THE ORIGINAL PANCAKE HOUS ","4343 W NORTHWEST HWY ","#375 ",75220,"24X ",18/11/2014,82,"Routine","4343 W NORTHWEST HWY ,DALLAS,TX,75220","32,7744408","-96,7928772"
"BANGKOK INN ","6033 ORAM ST ",,75206,"36X ",18/11/2014,71,"Routine","6033 ORAM ST ,DALLAS,TX,75206","32,7906825","-96,7001414"
"BAR LOUIE ","8166 PARK LN ","#C310 ",75231,"26Y ",23/06/2014,94,"Routine","8166 PARK LN ,DALLAS,TX,75231","32,865593","-96,836128"
"PARK KITCHEN & BAR ","8166 PARK LN ","#C310 ",75231,"26Y ",23/06/2014,90,"Routine","8166 PARK LN ,DALLAS,TX,75231","32,8139231","-96,7624611"
"BAYLOR CANCER CENTER (COFFEE SHOP) ","3410 WORTH ST ",,75246,"46J ",29/07/2014,100,"Routine","3410 WORTH ST ,DALLAS,TX,75246","32,87183","-96,7657401"
"BAYLOR CANCER CENTER KITCHEN DINING SERVERY ","3410 WORTH ST ",,75246,"46J ",29/07/2014,97,"Routine","3410 WORTH ST ,DALLAS,TX,75246","32,87183","-96,7657401"
"MING PLACE CHINA BISTRO ","5715 LEMMON AVE ",3,75209,"34L ",01/07/2014,85,"Routine","5715 LEMMON AVE ,DALLAS,TX,75209","32,787964","-96,778786"
